출발기관,도착기관,편도거리_km
서울_본청,서울_동부교육지원청,41.9
서울_본청,서울_서부교육지원청,36.5
서울_본청,서울_남부교육지원청,31.9
서울_본청,서울_북부교육지원청,39.0
서울_본청,서울_중부교육지원청,29.8
서울_본청,서울_강동송파교육지원청,21.2
서울_본청,서울_성동광진교육지원청,32.9
서울_본청,서울_성북강북교육지원청,18.4
서울_본청,서울_강남서초교육지원청,20.9
서울_본청,서울_동작관악교육지원청,35.8
서울_본청,서울_강서양천교육지원청,23.9
서울_본청,부산_본청,378.1
서울_본청,부산_서부교육지원청,395.7
서울_본청,부산_남부교육지원청,392.8
서울_본청,부산_북부교육지원청,407.6
서울_본청,부산_동래교육지원청,397.1
서울_본청,부산_해운대교육지원청,375.1
서울_본청,대구_본청,285.8
서울_본청,대구_동부교육지원청,289.4
서울_본청,대구_서부교육지원청,288.9
서울_본청,대구_남부교육지원청,295.1
서울_본청,대구_달성교육지원청,303.4
서울_본청,대구_군위교육지원청,291.1
서울_본청,인천_본청,41.4
서울_본청,인천_남부교육지원청,25.2
서울_본청,인천_북부교육지원청,37.9
서울_본청,인천_동부교육지원청,53.4
서울_본청,인천_서부교육지원청,37.4
서울_본청,인천_강화교육지원청,28.7
서울_본청,광주_본청,293.4
서울_본청,광주_동부교육지원청,305.5
서울_본청,광주_서부교육지원청,275.8
서울_본청,대전_본청,175.0
서울_본청,대전_동부교육지원청,165.2
서울_본청,대전_서부교육지원청,160.3
서울_본청,울산_본청,388.5
서울_본청,울산_강북교육지원청,384.1
서울_본청,울산_강남교육지원청,383.4
서울_본청,세종_본청,138.5
서울_본청,경기_본청,55.5
서울_본청,경기_수원교육지원청,22.2
서울_본청,경기_성남교육지원청,46.9
서울_본청,경기_의정부교육지원청,46.1
서울_본청,경기_안양과천교육지원청,31.2
서울_본청,경기_안산교육지원청,28.7
서울_본청,경기_평택교육지원청,30.6
서울_본청,경기_고양교육지원청,28.6
서울_본청,경기_화성오산교육지원청,33.1
서울_본청,경기_시흥교육지원청,53.1
서울_본청,경기_군포의왕교육지원청,40.0
서울_본청,경기_용인교육지원청,24.3
서울_본청,경기_파주교육지원청,45.3
서울_본청,경기_이천교육지원청,32.3
서울_본청,경기_안성교육지원청,28.1
서울_본청,경기_김포교육지원청,38.6
서울_본청,경기_광주하남교육지원청,35.0
서울_본청,경기_연천교육지원청,58.5
서울_본청,경기_포천교육지원청,46.8
서울_본청,경기_가평교육지원청,50.7
서울_본청,경기_양평교육지원청,33.4
서울_본청,경기_여주교육지원청,25.8
서울_본청,경기_동두천양주교육지원청,48.8
서울_본청,경기_구리남양주교육지원청,45.8
서울_본청,경기_부천교육지원청,45.4
서울_본청,경기_광명교육지원청,20.4
서울_본청,강원_본청,138.8
서울_본청,강원_춘천교육지원청,116.1
서울_본청,강원_원주교육지원청,107.4
서울_본청,강원_강릉교육지원청,104.8
서울_본청,강원_속초양양교육지원청,126.3
서울_본청,강원_삼척교육지원청,139.6
서울_본청,강원_홍천교육지원청,111.7
서울_본청,강원_횡성교육지원청,120.8
서울_본청,강원_영월교육지원청,117.9
서울_본청,강원_평창교육지원청,127.0
서울_본청,강원_정선교육지원청,120.7
서울_본청,강원_철원교육지원청,112.6
서울_본청,강원_화천교육지원청,120.9
서울_본청,강원_양구교육지원청,135.1
서울_본청,강원_인제교육지원청,137.1
서울_본청,강원_고성교육지원청,113.3
서울_본청,강원_양양교육지원청,119.7
서울_본청,강원_태백교육지원청,130.8
서울_본청,충북_본청,133.0
서울_본청,충북_청주교육지원청,141.3
서울_본청,충북_충주교육지원청,121.1
서울_본청,충북_제천교육지원청,149.2
서울_본청,충북_보은교육지원청,137.8
서울_본청,충북_옥천교육지원청,126.9
서울_본청,충북_영동교육지원청,145.4
서울_본청,충북_진천교육지원청,136.7
서울_본청,충북_괴산증평교육지원청,126.2
서울_본청,충북_음성교육지원청,138.2
서울_본청,충북_단양교육지원청,125.1
서울_본청,충남_본청,131.7
서울_본청,충남_천안교육지원청,165.0
서울_본청,충남_공주교육지원청,140.1
서울_본청,충남_보령교육지원청,158.5
서울_본청,충남_아산교육지원청,134.1
서울_본청,충남_서산교육지원청,151.5
서울_본청,충남_논산계룡교육지원청,144.8
서울_본청,충남_당진교육지원청,144.5
서울_본청,충남_금산교육지원청,169.6
서울_본청,충남_부여교육지원청,138.3
서울_본청,충남_서천교육지원청,141.0
서울_본청,충남_청양교육지원청,151.8
서울_본청,충남_홍성교육지원청,149.8
서울_본청,충남_예산교육지원청,132.7
서울_본청,충남_태안교육지원청,167.8
서울_본청,전북_본청,236.7
서울_본청,전북_전주교육지원청,211.9
서울_본청,전북_군산교육지원청,218.0
서울_본청,전북_익산교육지원청,218.1
서울_본청,전북_정읍교육지원청,201.5
서울_본청,전북_남원교육지원청,220.1
서울_본청,전북_김제교육지원청,238.2
서울_본청,전북_완주교육지원청,227.3
서울_본청,전북_진안교육지원청,214.2
서울_본청,전북_무주교육지원청,217.1
서울_본청,전북_장수교육지원청,209.3
서울_본청,전북_임실교육지원청,230.3
서울_본청,전북_순창교육지원청,229.9
서울_본청,전북_고창교육지원청,206.0
서울_본청,전북_부안교육지원청,203.4
서울_본청,전남_본청,350.0
서울_본청,전남_목포교육지원청,348.5
서울_본청,전남_여수교육지원청,342.3
서울_본청,전남_순천교육지원청,323.6
서울_본청,전남_나주교육지원청,352.8
서울_본청,전남_광양교육지원청,346.8
서울_본청,전남_담양교육지원청,341.0
서울_본청,전남_곡성교육지원청,359.5
서울_본청,전남_구례교육지원청,351.6
서울_본청,전남_고흥교육지원청,356.0
서울_본청,전남_보성교육지원청,336.9
서울_본청,전남_화순교육지원청,347.4
서울_본청,전남_장흥교육지원청,341.4
서울_본청,전남_강진교육지원청,350.6
서울_본청,전남_해남교육지원청,323.4
서울_본청,전남_영암교육지원청,346.0
서울_본청,전남_무안교육지원청,344.3
서울_본청,전남_함평교육지원청,350.9
서울_본청,전남_영광교육지원청,355.5
서울_본청,전남_장성교육지원청,337.3
서울_본청,전남_완도교육지원청,338.3
서울_본청,전남_진도교육지원청,353.3
서울_본청,전남_신안교육지원청,336.7
서울_본청,경북_본청,272.1
서울_본청,경북_포항교육지원청,278.3
서울_본청,경북_경주교육지원청,299.2
서울_본청,경북_김천교육지원청,279.4
서울_본청,경북_안동교육지원청,293.5
서울_본청,경북_구미교육지원청,279.1
서울_본청,경북_영주교육지원청,299.7
서울_본청,경북_영천교육지원청,293.1
서울_본청,경북_상주교육지원청,262.4
서울_본청,경북_문경교육지원청,292.0
서울_본청,경북_경산교육지원청,287.9
서울_본청,경북_군위교육지원청,275.8
서울_본청,경북_의성교육지원청,298.4
서울_본청,경북_청송교육지원청,278.1
서울_본청,경북_영양교육지원청,297.1
서울_본청,경북_영덕교육지원청,298.4
서울_본청,경북_청도교육지원청,269.8
서울_본청,경북_고령교육지원청,285.1
